prod_code,kind,name,image,price2,price3,content
25941,스니커즈/슬립온,[자체제작] 러블리루인 키높이 스니커즈 블로퍼 7cm,//lovelyshoes.co.kr/web/product/medium/202303/19a9f2e8fdb3d3d9c6d1d8eea653ddb4.gif,39900,29900,"쉿, 내 키의 비밀! 빵빵한 3cm 속굽♥!
러블리 에디션 ver.25 스니커즈 블로퍼"
24625,스니커즈/슬립온,[자체제작] 한걸음더 키높이 스니커즈 6cm,//lovelyshoes.co.kr/web/product/medium/202302/9ee7f8c506c80584b884ea4e1d96ca29.gif,39900,29900,"가벼운 텐션, 통통튀는 1.5cm 속굽!
여러분의 성원으로 NEW컬러 출시♥"
25380,스니커즈/슬립온,히든템 통굽 스니커즈 5cm,//lovelyshoes.co.kr/web/product/medium/202302/2e510d4249eee7b75745a12eb42848a2.gif,39900,29900,"2가지 타입의 끈 밴딩이 다양한
연출을 도와줘요 :)"
21570,스니커즈/슬립온,토피엔 통굽 스니커즈 4cm,//lovelyshoes.co.kr/web/product/medium/20200326/3b08f94c233be13191858a9d38ceaed5.gif,29900,23900,"유연한 텐션감으로 발의 편안함은 물론
깔끔한 디자인의 데일리 스니커즈 :)"
23390,스니커즈/슬립온,베이직한 키높이 스니커즈 5cm,//lovelyshoes.co.kr/web/product/medium/202103/0733f8986652b3e4b86b44e7e7686b71.gif,29900,19900,"언제 어디서든 신기좋은 만능템!
기본핏에 키높이 효과를 더했어요:D"
18948,스니커즈/슬립온,웬스 키높이 스니커즈 5cm,//lovelyshoes.co.kr/web/product/medium/202204/1ca6c5ff49fb6ec944aa3b8e2ef4ed1c.gif,39900,29900,"2cm의 속굽으로 자연스러운 키높이 효과와
실버, 골드 글리터 포인트가 매력적인 스니커즈 :)"
25912,스니커즈/슬립온,[단독진행] 둥실구름 삭스 슬립온 4cm,//lovelyshoes.co.kr/web/product/medium/202303/1bb1ffd1ff9fb9cb5e36a5d0e28e0965.gif,29900,19900,"매일 신고 싶은 편안한 워킹감!
러블리에서만 만날 수 있어요~"
25891,스니커즈/슬립온,뉴트 가죽 키높이 스니커즈 7cm,//lovelyshoes.co.kr/web/product/medium/202302/ce8b9e8e55f63c88cc495cbd6e342d3b.gif,47900,43900,"리얼 소가죽은 다르다! 국내
생산까지 남다른 하이퀄리티"
23940,스니커즈/슬립온,라인살리는 가죽 키높이 스니커즈 7cm,//lovelyshoes.co.kr/web/product/medium/202108/54fb0e4f5e36c44ea4c8d0d54fdd0146.gif,49900,45900,"자연스러운 키높이 효과에 천연소가죽 소재로
탄탄하게 제작된 스니커즈랍니다-"
25806,스니커즈/슬립온,조르디 키높이 스니커즈 5cm,//lovelyshoes.co.kr/web/product/medium/202302/328131b3fb57735ee0e023a05c90819e.gif,29900,19900,"장시간 착화에도 산뜻한 워킹!
내가 찾던 신상 스니커즈♡"
