"평가년도","연번","쇼핑몰 구분","쇼핑몰 명","도메인명","소비자보호평가","이용자만족평가","피해발생평가","전체평가"
"2022","3117","의류","젝시믹스","www.xexymix.com","49.0","28.77","10.0","87.77"
"2022","3099","종합쇼핑몰","코스트코","www.costco.co.kr","50.0","27.26","10.0","87.26"
"2022","3100","종합쇼핑몰","SSG닷컴","www.ssg.com","49.0","28.05","10.0","87.05"
"2022","3101","종합쇼핑몰","CJ온스타일","display.cjonstyle.com","48.0","28.95","10.0","86.95"
"2022","3136","식품","마켓컬리","market.kurly.com","47.0","29.21","10.0","86.21000000000001"
"2022","3107","오픈마켓","네이버 스마트스토어","sell.smartstore.naver.com","48.0","28.11","10.0","86.11"
"2022","3127","가전","삼성닷컴","www.samsung.com","48.0","28.03","10.0","86.03"
"2022","3114","컴퓨터","카카오 쇼핑라이브","store.kakao.com/home/live","48.0","27.65","10.0","85.65"
"2022","3118","의류","유니클로","store-kr.uniqlo.com","49.0","26.54","10.0","85.53999999999999"
"2022","3102","종합쇼핑몰","GS SHOP","www.gsshop.com","48.0","27.44","10.0","85.44"
"2022","3115","컴퓨터","네이버 쇼핑라이브","shoppinglive.naver.com/","48.0","27.41","10.0","85.41"
"2022","3139","소셜커머스","멜론","www.melon.com","49.0","26.13","10.0","85.13"
"2022","3130","화장품","아모레몰","www.amoremall.com","48.0","27.06","10.0","85.06"
"2022","3119","의류","무신사","store.musinsa.com/","48.0","29.02","8.0","85.02"
"2022","3133","도서","넷플릭스","www.netflix.com","47.0","27.66","10.0","84.66"
"2022","3120","의류","뮬라웨어","www.mulawear.com","48.0","26.47","10.0","84.47"
"2022","3140","소셜커머스","유튜브 뮤직","www.youtube.com/musicpremium","49.0","25.43","10.0","84.43"
"2022","3103","종합쇼핑몰","홈플러스","www.homeplus.co.kr","47.0","27.42","10.0","84.42"
"2022","3128","가전","전자랜드","www.etlandmall.co.kr","47.0","27.38","10.0","84.38"
"2022","3141","소셜커머스","지니","www.genie.co.kr","49.0","25.32","10.0","84.32"
"2022","3108","오픈마켓","쿠팡","www.coupang.com","46.0","28.19","10.0","84.19"
"2022","3121","의류","프롬비기닝","www.beginning.kr","48.0","26.06","10.0","84.06"
"2022","3131","화장품","아이뷰티랩","www.ibeautylab.co.kr","47.0","26.73","10.0","83.73"
"2022","3122","의류","안다르","andar.co.kr","48.0","25.72","10.0","83.72"
"2022","3116","컴퓨터","쿠팡 라이브","쿠팡 모바일앱","46.0","27.61","10.0","83.61"
"2022","3123","의류","98도씨","www.98doci.com","47.0","26.51","10.0","83.51"
"2022","3142","여행","예스2411","ticket.yes24.com","46.0","27.49","10.0","83.49"
"2022","3132","화장품","마녀공장","www.manyo.co.kr","47.0","26.36","10.0","83.36"
"2022","3111","해외구매대행","쿠팡이츠","쿠팡이츠 모바일앱","47.0","26.11","10.0","83.11"
"2022","3124","의류","슬로우앤드","www.slowand.com","47.0","26.08","10.0","83.08"
"2022","3125","의류","LF몰","www.lfmall.co.kr","45.0","28.0","10.0","83.0"
"2022","3145","티켓","에어비앤비","www.airbnb.co.kr/","46.0","26.95","10.0","82.95"
"2022","3146","티켓","하나투어","www.hanatour.com","47.0","25.93","10.0","82.93"
"2022","3104","종합쇼핑몰","현대Hmall","www.hmall.com","46.0","26.68","10.0","82.68"
"2022","3109","오픈마켓","G마켓","www.gmarket.co.kr","44.0","28.59","10.0","82.59"
"2022","3112","해외구매대행","요기요","요기요 모바일앱","47.0","25.58","10.0","82.58"
"2022","3137","식품","오아시스마켓","www.oasis.co.kr/","44.0","28.56","10.0","82.56"
"2022","3105","종합쇼핑몰","홈앤쇼핑","www.hnsmall.com","47.0","25.53","10.0","82.53"
"2022","3113","해외구매대행","배달의 민족","배민 모바일앱","47.0","25.22","10.0","82.22"
"2022","3134","도서","TVING","www.tving.com","47.0","25.17","10.0","82.17"
"2022","3129","가전","하이마트","www.e-himart.co.kr","49.0","25.16","8.0","82.16"
"2022","3110","오픈마켓","11번가","www.11st.co.kr/","45.0","27.08","10.0","82.08"
"2022","3126","의류","탑텐몰","www.topten10mall.com","47.0","24.95","10.0","81.95"
"2022","3138","식품","GS프레시몰","www.gsfresh.com","45.0","26.75","10.0","81.75"
"2022","3135","도서","웨이브","www.wavve.com","44.0","25.1","10.0","79.1"
"2022","3147","티켓","야놀자","www.yanolja.com","47.0","26.93","5.0","78.93"
"2022","3143","여행","멜론11","ticket.melon.com","44.0","24.52","10.0","78.52"
"2022","3106","종합쇼핑몰","롯데온","www.l8eon.com","45.0","25.25","8.0","78.25"
"2022","3148","티켓","아고다","www.agoda.com/ko-kr","39.0","25.77","10.0","74.77"
"2022","3144","여행","11링크","www.ticketlink.co.kr","39.0","25.28","10.0","74.28"
"2021","2899","종합쇼핑몰","코스트코","www.costco.co.kr","49.0","27.58","10.0","86.58"
"2021","2934","의류","보리보리","www.boribori.com","48.0","28.28","10.0","86.28"
"2021","2935","의류","무신사","store.musinsa.com","48.0","30.01","8.0","86.01"
"2021","2968","식품","샵풀무원","shop.pulmuone.co.kr","47.0","28.66","10.0","85.66"
"2021","2969","식품","마켓컬리","www.kurly.com","46.0","29.63","10.0","85.63"
"2021","2936","의류","젝시믹스","www.xexymix.com","48.0","27.52","10.0","85.52"
"2021","2900","종합쇼핑몰","CJ온스타일","www.cjonstyle.com","48.0","27.12","10.0","85.12"
"2021","2927","컴퓨터","네이버 쇼핑라이브","shoppinglive.naver.com","47.0","28.04","10.0","85.04"
"2021","2970","식품","CJ더마켓","www.cjthemarket.com","47.0","28.03","10.0","85.03"
"2021","2937","의류","LF몰","www.lfmall.co.kr","47.0","27.78","10.0","84.78"
"2021","2901","종합쇼핑몰","신세계 TV쇼핑","www.shinsegaetvshopping.com","47.0","27.78","10.0","84.78"
"2021","2983","소셜커머스","멜론","www.melon.com","48.0","26.48","10.0","84.48"
"2021","2958","가전","쿠첸","www.cuchenmall.com","47.0","27.39","10.0","84.39"
"2021","2902","종합쇼핑몰","롯데i몰(롯데홈쇼핑)","www.lotteimall.com","48.0","26.32","10.0","84.32"
"2021","2928","컴퓨터","카카오 쇼핑라이브","store.kakao.com/home/live","47.0","27.32","10.0","84.32"
"2021","2971","식품","동원몰","dongwonmall.com","48.0","26.26","10.0","84.26"
"2021","2919","오픈마켓","쿠팡","www.coupang.com","45.0","29.14","10.0","84.14"
"2021","2972","식품","오아시스마켓","www.oasis.co.kr","43.0","31.13","10.0","84.13"
"2021","2929","컴퓨터","그립","GRIP 모바일앱","47.0","26.94","10.0","83.94"
"2021","2975","도서","넷플릭스","www.netflix.com","46.0","27.86","10.0","83.86"
"2021","2903","종합쇼핑몰","우체국쇼핑","mall.epost.go.kr/","47.0","26.76","10.0","83.76"
"2021","2963","화장품","아모레퍼시픽몰","www.amoremall.com","47.0","26.76","10.0","83.76"
"2021","2938","의류","프롬비기닝","www.beginning.kr","48.0","25.7","10.0","83.7"
"2021","2939","의류","저스트원","www.justone.co.kr","47.0","26.64","10.0","83.64"
"2021","2940","의류","하프클럽","www.halfclub.com","48.0","25.54","10.0","83.54"
"2021","2941","의류","마이더스비","www.midasb.co.kr","48.0","25.53","10.0","83.53"
"2021","2942","의류","유니클로","store-kr.uniqlo.com","48.0","25.37","10.0","83.37"
"2021","2964","화장품","스킨알엑스","www.skinrx.co.kr","47.0","26.32","10.0","83.32"
"2021","2973","식품","헬로네이처","www.hellonature.co.kr","47.0","26.24","10.0","83.24"
"2021","2943","의류","갠소","www.gaenso.com","46.0","27.17","10.0","83.17"
"2021","2974","식품","정원e샵","www.jungoneshop.com","46.0","27.16","10.0","83.16"
"2021","2920","오픈마켓","네이버 스마트스토어","smartstore.naver.com","47.0","26.11","10.0","83.11"
"2021","2944","의류","뮬라웨어","www.mulawear.com","47.0","26.02","10.0","83.02"
